,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
526,"₦ 1,774,000","Onitsha - SNB                                        ,Onitsha",Nigerian Used,"38,790Km",E,2006,Toyota,Matrix,Automatic,Petrol
527,"₦ 1,500,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"179,066Km",,2007,Honda,Odyssey,Automatic,Petrol
528,"₦ 9,194,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"97,900Km",D,2016,Honda,Cr-V,Automatic,Petrol
529,"₦ 682,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"84,354Km",D,2006,Chevrolet,Aveo,Automatic,Petrol
530,"₦ 626,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"206,322Km",,2001,Toyota,Corolla,Automatic,Petrol
531,"₦ 4,042,000","Abuja - SNB                                        ,Abuja",Foreign Used,"161,314Km",C,2008,Jeep,Liberty,Automatic,Petrol
532,"₦ 1,416,250","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"170,010Km",E,2006,Corolla,2006,Automatic,Petrol
533,"₦ 2,250,000",AKURE - SNB,Nigerian Used,"122,751Km",E,2011,Lexus,Es 350,Automatic,Petrol
534,"₦ 1,802,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"186,729Km",D,2005,Honda,Pilot,Automatic,Petrol
535,"₦ 3,594,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"29,211Km",B,2014,Hyundai,Veloster,Automatic,Petrol
536,"₦ 2,250,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"112,042Km",D,0000,Es,300,Automatic,Petrol
537,"₦ 402,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"139,341Km",E,1999,Nissan,Maxima,Automatic,Petrol
538,"₦ 5,274,000","Island - SNB                                        ,Lagos",Foreign Used,"145,619Km",,2010,Mercedes-Benz,Glk350,Automatic,Petrol
539,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"68,016Km",E,2013,Hyundai,Accent,Automatic,Petrol
540,"₦ 4,490,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"101,531Km",C,2011,Toyota,Highlander,Automatic,Petrol
541,"₦ 626,000","Island - SNB                                        ,Lagos",Nigerian Used,2004,E,NG-712698,Nissan,Quest,Automatic,Petrol
542,"₦ 2,250,000","Island - SNB                                        ,Lagos",Nigerian Used,"37,974Km",D,2012,Volkswagen,Passat,Automatic,Petrol
543,"₦ 1,522,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"133,841Km",D,2006,Suzuki,Vitara,Automatic,Petrol
544,"₦ 3,930,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"159,319Km",E,2007,Mercedes-Benz,Gl450,Automatic,Petrol
545,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"192,003Km",D,2006,Toyota,Avalon,Automatic,Petrol
546,"₦ 3,103,750","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"106,592Km",,2011,Toyota,Camry,Automatic,Petrol
547,"₦ 2,698,000","SNB                                        ,Owerri",Foreign Used,"128,357Km",C,2004,BMW,X3,Automatic,Petrol
548,"₦ 5,274,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"80,340Km",E,2012,Toyota,Highlander,Automatic,Petrol
549,"₦ 1,746,000","Abuja - SNB                                        ,Abuja",Foreign Used,"230,454Km",D,2007,Nissan,Altima,Automatic,Petrol
550,"₦ 2,810,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,109Km,C,2008,Acura,Rdx,Automatic,Petrol
551,"₦ 1,914,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"147,544Km",D,2002,Lexus,Es 300,Automatic,Petrol
552,"₦ 794,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"231,563Km",D,2011,Skoda,Fabia,Automatic,Petrol
553,"₦ 1,578,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"159,607Km",D,2007,Mitsubishi,Outlander,Automatic,Petrol
554,"₦ 1,130,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"103,704Km",E,2009,Honda,Accord,Automatic,Petrol
555,"₦ 5,610,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"20,180Km",D,2009,Land,Rover Range Rover HSE,Automatic,Petrol
556,"₦ 514,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"298,958Km",E,2002,Renault,Megane,Automatic,Petrol
557,"₦ 1,130,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"214,864Km",E,0000,"XL7
",                                      C45-Marketplace,Automatic,Petrol
558,"₦ 2,400,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"100,123Km",D,2012,Hyundai,Elantra,Automatic,Petrol
559,"₦ 7,850,000","Port Harcourt - SNB                                        ,Port Harcourt",Foreign Used,"70,987Km",D,2012,Toyota,Sienna,Automatic,Petrol
560,"₦ 1,130,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"102,876Km",D,2008,Nissan,Qashqai,Automatic,Petrol
