Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
300,Lagos,foreign,149559,5,2013,Mercedes-Benz,220,Automatic,7,11565000
301,Lagos,foreign,132746,4.8,2008,Mercedes-Benz,300,Automatic,12,4415000
302,Lagos,local,17433,4.9,2014,Land,Rover Range Rover Sport,Automatic,6,17615000
303,Lagos,foreign,46368,5,2014,Mercedes-Benz,220,Automatic,6,11565000
304,Lagos,foreign,45279,4.9,2008,Honda,Accord,Automatic,12,3005000
305,Lagos,foreign,76271,5,2004,Lexus,RX 330,Automatic,16,4415000
306,Lagos,foreign,92189,4.8,2008,Acura,MDX,Automatic,12,3755000
307,Lagos,foreign,65252,4.7,2008,Acura,MDX,Automatic,12,3755000
308,Lagos,foreign,101232,4.7,2010,Hyundai,Elantra,Automatic,10,935000
310,Lagos,foreign,63747,4.8,2016,Toyota,Highlander,Automatic,4,14315000
311,Lagos,foreign,143258,4.9,2005,Toyota,Corolla,Automatic,15,2545000
312,Lagos,foreign,49529,4.9,2017,Toyota,Camry,Automatic,3,10465000
313,Lagos,foreign,119000,4.9,2010,Mercedes-Benz,GLK 350,Automatic,10,6285000
314,Lagos,foreign,18530,5,2018,Toyota,Camry,Automatic,2,19265000
315,Lagos,foreign,25969,5,2016,Mercedes-Benz,S 550,Automatic,4,50615000
316,Lagos,foreign,91524,5,2007,Lexus,ES 350,Automatic,13,4195000
318,Lagos,foreign,46953,4.9,2013,Toyota,RAV 4,Automatic,7,8265000
319,Lagos,foreign,147262,4.8,2004,Toyota,Corolla,Automatic,16,2315000
320,Lagos,foreign,98333,4.9,2003,Toyota,Corolla,Automatic,17,2200000
321,Lagos,foreign,59833,4.9,2013,Land,Rover Range Rover,Automatic,7,36315000
322,Lagos,foreign,36921,5,2019,Land,Rover Range Rover,Automatic,1,52815000
323,Lagos,foreign,19936,4.9,2019,Honda,CR-V,Automatic,1,17615000
324,Lagos,foreign,62125,4.9,2014,Lexus,ES 350,Automatic,6,10245000
325,Lagos,foreign,196773,4.9,2013,Ford,F 150,Automatic,7,9365000
326,Lagos,foreign,75341,4.9,2010,Toyota,4-Runner,Automatic,10,10795000
327,Lagos,foreign,76319,5,2011,Hyundai,Elantra,Automatic,9,1395000
328,Lagos,foreign,22824,5,2020,Toyota,Corolla,Automatic,0,20915000
329,Lagos,foreign,46676,5,2018,Honda,Accord,Automatic,2,12115000
330,Lagos,foreign,205040,4.7,2007,Mercedes-Benz,GL 450,Automatic,13,5735000
331,Lagos,foreign,102502,4.7,2012,Toyota,Corolla,Automatic,8,3975000
332,Lagos,foreign,96386,4.8,2004,Lexus,RX 300,Automatic,16,3645000
333,Lagos,local,68901,4.9,2016,GAC,Gonow Other,Automatic,4,1855000
334,Lagos,local,280280,4.2,2003,Toyota,Camry,Automatic,17,1280000
335,Lagos,foreign,6325,5,2019,Lexus,RX 350,Automatic,1,26965000
336,Lagos,foreign,123885,4.6,2009,Toyota,Venza,Automatic,11,6395000
337,Lagos,foreign,11465,4.9,2017,Lexus,GX 460,Automatic,3,35215000
338,Lagos,foreign,29223,5,2018,Lexus,GX 460,Automatic,2,39615000
339,Lagos,foreign,34275,4.9,2018,Toyota,Camry,Automatic,2,18715000
340,Lagos,foreign,24873,5,2018,Lexus,LX 570,Automatic,2,52815000
341,Lagos,foreign,73923,4.9,2016,Toyota,4-Runner,Automatic,4,16515000
342,Lagos,foreign,52475,5,2017,Mercedes-Benz,E 300,Automatic,3,18715000
343,Lagos,local,151511,5,2008,Toyota,Land Cruiser,Automatic,12,12115000
344,Lagos,foreign,157852,5,2013,Ford,Escape,Automatic,7,4690000
345,Lagos,foreign,139970,4.8,2004,Toyota,Camry,Automatic,16,1970000
